scan_id,organs_in_report,lost_by_threshold,retained_by_threshold
train_17813_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_2545_a,"['esophagus', 'spleen', 'trachea', 'heart', 'lung']",[],"['esophagus', 'spleen', 'trachea', 'heart', 'lung']"
train_1540_c,"['spleen', 'liver', 'colon', 'trachea', 'pancreas', 'heart', 'lung', 'stomach']",[],"['spleen', 'liver', 'colon', 'trachea', 'pancreas', 'heart', 'lung', 'stomach']"
train_1540_b,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_1540_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_11334_a,"['heart', 'trachea', 'lung']",[],"['heart', 'trachea', 'lung']"
train_14966_a,"['esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'heart', 'lung']"
train_9551_a,"['esophagus', 'liver', 'trachea', 'aorta', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'lung']"
train_11979_a,"['esophagus', 'trachea', 'kidney', 'heart', 'lung']",[],"['esophagus', 'trachea', 'kidney', 'heart', 'lung']"
train_17325_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_15836_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_15836_b,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_142_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_1169_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_2701_a,"['esophagus', 'trachea', 'kidney', 'heart', 'lung']",[],"['esophagus', 'trachea', 'kidney', 'heart', 'lung']"
train_9410_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_7226_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_9845_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_8485_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_10126_a,"['rib', 'esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'lung']",[],"['rib', 'esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'lung']"
train_4541_c,"['trachea', 'lung']",[],"['trachea', 'lung']"
train_4541_b,"['esophagus', 'heart', 'lung']",[],"['esophagus', 'heart', 'lung']"
train_4541_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_3626_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_13036_a,"['esophagus', 'liver', 'trachea', 'kidney', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'kidney', 'heart', 'lung']"
train_17180_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_11371_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_9629_a,"['liver', 'lung', 'esophagus']",[],"['liver', 'lung', 'esophagus']"
train_2685_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung', 'stomach']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung', 'stomach']"
train_12360_a,"['esophagus', 'liver', 'colon', 'kidney', 'aorta', 'lung']",[],"['esophagus', 'liver', 'colon', 'kidney', 'aorta', 'lung']"
train_5248_a,"['esophagus', 'spleen', 'liver', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'gallbladder', 'heart', 'lung']"
train_11065_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_12501_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_14901_a,"['rib', 'esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['rib', 'esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_14901_b,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_2859_a,"['esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'heart', 'lung']"
train_8496_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_2288_b,"['rib', 'esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['rib', 'esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_2288_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_3199_a,"['trachea', 'esophagus', 'heart', 'lung']",[],"['trachea', 'esophagus', 'heart', 'lung']"
train_5798_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_5772_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_11372_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_11372_b,['liver'],[],['liver']
train_14455_a,"['esophagus', 'trachea', 'kidney', 'heart', 'lung']",[],"['esophagus', 'trachea', 'kidney', 'heart', 'lung']"
train_3634_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung', 'stomach']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung', 'stomach']"
train_5131_a,"['trachea', 'lung']",[],"['trachea', 'lung']"
train_842_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
